,airport_ref,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,gps_code,iata_code,wikipedia_link,small_airport,medium_airport,large_airport,frequency_mhz
7845,13549,6TE6,small_airport,6666 Ranch Airport,33.6412010193,-100.347999573,1775,NA,US,US-TX,Guthrie,no,6TE6,,,1,0,0,[127.45]
8034,13716,72CL,small_airport,Iron Mountain Pumping Plant Airport,34.1342010498,-115.1190032959,890,NA,US,US-CA,Desert Center,no,72CL,,,1,0,0,[122.9]
8050,13729,72MI,small_airport,Northwoods Airport,46.285900116,-89.2774963379,1642,NA,US,US-MI,Watersmeet,no,72MI,,,1,0,0,[122.75]
8067,13745,72TA,small_airport,Pierce Field,28.4585990906,-96.2919006348,5,NA,US,US-TX,Port O'Connor,no,72TA,,,1,0,0,[126.625]
8068,13746,72TE,small_airport,Chaparrosa Ranch Airport,28.8794002533,-99.9906005859,680,NA,US,US-TX,La Pryor,no,72TE,,,1,0,0,[126.625]
8154,13826,74TE,small_airport,Flat Top Ranch Airport,32.05989838,-97.79470062,960,NA,US,US-TX,Walnut Springs,no,74TE,,,1,0,0,"[127.45, 122.725]"
8174,13842,75FL,small_airport,Sandy Creek Airpark,30.102663,-85.479555,13,NA,US,US-FL,Panama City,no,75FL,,https://en.wikipedia.org/wiki/Sandy_Creek_Airpark,1,0,0,[122.8]
8206,13871,75TA,small_airport,Coleman Cattle Company Nr 1 Airport,32.5343017578,-101.7249984741,2820,NA,US,US-TX,Ackerly,no,75TA,,,1,0,0,[127.45]
8210,13874,75TX,small_airport,Leona Ranch Airport,29.509683,-100.37324,1720,NA,US,US-TX,Brackettville,no,75TX,,,1,0,0,[126.625]
8256,13914,76TA,small_airport,Canadian River Ranch Airport,35.402675,-102.807605,3839,NA,US,US-TX,Adrian,no,46XS,,,1,0,0,[132.65]
8311,13959,77XS,small_airport,Garrett Ranch Airport,29.2872009277,-95.359703064,30,NA,US,US-TX,Danbury,no,77XS,,,1,0,0,[126.625]
8435,14055,7B3,small_airport,Hampton Airfield,42.962600708,-70.8286972046,93,NA,US,US-NH,Hampton,no,7B3,,,1,0,0,[122.8]
8441,14062,7CA2,small_airport,Paradise Lakes Airport,35.176700592,-118.9270019531,340,NA,US,US-CA,Bakersfield,no,7CA2,,,1,0,0,[122.95]
8459,14079,7CO0,small_airport,Parkland Airport,40.0717010498,-105.033996582,5050,NA,US,US-CO,Erie,no,7CO0,,,1,0,0,[122.9]
8494,14110,7FL6,small_airport,Spruce Creek Airport,29.0802001953,-81.0466995239,24,NA,US,US-FL,Daytona Beach,no,7FL6,,https://en.wikipedia.org/wiki/Spruce_Creek_Fly-In,1,0,0,"[121.725, 122.975]"
8665,14270,7NC2,small_airport,Pine Island Airport,36.2535018921,-75.7884979248,16,NA,US,US-NC,Corolla,no,7NC2,DUF,https://en.wikipedia.org/wiki/Pine_Island_Airport,1,0,0,[122.9]
8753,14352,7PA3,small_airport,Charles G. Kalko Airport,41.7056007385,-75.2880020142,1400,NA,US,US-PA,Honesdale,no,7PA3,,,1,0,0,[129.9]
8781,14377,7S3,small_airport,Stark's Twin Oaks Airpark,45.4285011292,-122.9420013428,170,NA,US,US-OR,Hillsboro,no,7S3,,https://en.wikipedia.org/wiki/Stark's_Twin_Oaks_Airpark,1,0,0,[123.05]
8798,14394,7TE2,small_airport,Cage Ranch Airport,27.1058998108,-98.2058029175,148,NA,US,US-TX,Falfurrias,no,7TE2,,,1,0,0,[126.625]
8802,14398,7TE6,small_airport,Stovall Ranch Nr 1 Airport,29.2003002167,-96.554397583,108,NA,US,US-TX,El Campo,no,7TE6,,,1,0,0,[126.625]
8803,14399,7TE7,small_airport,Moore Field,26.383699,-98.333603,219,NA,US,US-TX,Edinburg,no,7TE7,,,1,0,0,"[126.625, 122.8]"
8811,45974,7TN5,small_airport,Flying D Airport,35.133806,-89.186806,477,NA,US,US-TN,Hickory Valley,no,7TN5,,,1,0,0,[122.75]
